               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13081,            0.023511,            0.051767,          0.00013536,            0.013158,           4.157e-05,          1.6628e-05,             0.13571,            0.019806,            0.054415,               8e-05,               8e-05,             0.09928
                   1,             0.12427,            0.022266,            0.050003,           0.0003318,            0.039474,          0.00015477,          1.5477e-05,             0.12673,            0.018788,            0.052213,             0.00017,             0.00017,             0.09847
                   2,             0.11985,            0.020797,            0.046098,          0.00070485,            0.026316,          0.00032801,          9.5528e-05,             0.11844,            0.017924,            0.049355,             0.00026,             0.00026,             0.09766
                   3,             0.10821,            0.020915,            0.041806,           0.0013063,            0.088816,          0.00076582,          0.00012227,             0.10616,            0.017492,            0.046617,          0.00034999,          0.00034999,             0.09685
                   4,             0.10073,            0.021042,            0.039622,           0.0060952,            0.088816,           0.0028354,          0.00047792,             0.10597,            0.017121,            0.044109,          0.00043998,          0.00043998,             0.09604
                   5,            0.097164,            0.021013,            0.035265,             0.94707,               0.125,             0.10968,            0.023244,            0.095095,            0.017306,            0.041441,          0.00052997,          0.00052997,             0.09523
                   6,            0.090782,            0.021938,            0.034508,             0.25999,            0.044408,           0.0064607,           0.0014496,            0.097131,            0.016493,            0.037662,          0.00061995,          0.00061995,             0.09442
                   7,            0.084146,            0.023229,            0.030109,             0.29296,            0.083882,            0.025791,           0.0052044,            0.088479,            0.016128,            0.033723,          0.00070992,          0.00070992,             0.09361
                   8,            0.081784,            0.022693,             0.02812,             0.39006,             0.10079,             0.12583,            0.022707,            0.084179,            0.016593,            0.030473,          0.00079989,          0.00079989,              0.0928
                   9,             0.07953,            0.022751,            0.025141,             0.42209,             0.39677,             0.21557,            0.046554,            0.078599,            0.016315,             0.02854,          0.00088984,          0.00088984,             0.09199
                  10,            0.074247,            0.021427,            0.022548,             0.41282,             0.46067,             0.27196,            0.096885,            0.080071,            0.015742,            0.027121,          0.00097978,          0.00097978,             0.09118
                  11,            0.072799,            0.021677,            0.021164,             0.38381,             0.57589,             0.30393,             0.11815,            0.078325,            0.014968,            0.025243,           0.0010697,           0.0010697,             0.09037
                  12,            0.065107,            0.020766,            0.018206,             0.39167,             0.43155,             0.30404,             0.08655,            0.074531,            0.014195,            0.024625,           0.0011596,           0.0011596,             0.08956
                  13,            0.065574,             0.02002,            0.015462,             0.44273,             0.61534,             0.33647,             0.12509,            0.071727,            0.013964,            0.023907,           0.0012495,           0.0012495,             0.08875
                  14,            0.061218,            0.018542,             0.01462,             0.36272,             0.49107,             0.22571,             0.10247,            0.078538,            0.013127,             0.02227,           0.0013394,           0.0013394,            0.087939
                  15,            0.058763,            0.017874,            0.013844,             0.47724,             0.38095,             0.43898,             0.13979,            0.077959,            0.012814,            0.022301,           0.0014293,           0.0014293,            0.087129
                  16,            0.056105,            0.017422,            0.013345,             0.51882,             0.65923,             0.46214,             0.20368,             0.06516,            0.012558,             0.01895,           0.0015191,           0.0015191,            0.086319
                  17,            0.056125,            0.016872,            0.010949,             0.50701,             0.61723,             0.34311,             0.08774,            0.078003,            0.011463,             0.01739,            0.001609,            0.001609,            0.085509
                  18,            0.063628,            0.015503,            0.011285,             0.40776,             0.34375,             0.19634,            0.045069,            0.085378,            0.010393,            0.018493,           0.0016988,           0.0016988,            0.084699
                  19,            0.070127,            0.015075,            0.010174,             0.86424,              0.4071,             0.49807,             0.22727,             0.06738,            0.010609,            0.018235,           0.0017886,           0.0017886,            0.083889
                  20,            0.057585,            0.015093,            0.010447,             0.76293,             0.60714,             0.65544,             0.30735,            0.063711,             0.01043,            0.015859,           0.0018783,           0.0018783,            0.083078
                  21,            0.062667,            0.015293,           0.0090711,               0.615,             0.53224,             0.53924,             0.11985,            0.068452,            0.010089,            0.016482,           0.0019681,           0.0019681,            0.082268
